log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	9.00	0.15000001	0.1500	-2.3804	3.5631	5.1928	10.721	14.786	13.548	12.061	11.071	10.044	9.014	8.187	7.963	-9.59274740
	9.00	0.20000000	0.2000	-2.0942	3.5868	5.1264	10.005	13.686	12.474	11.075	10.164	9.315	8.393	7.607	7.399	-6.50542581
	9.00	0.25000000	0.2500	-1.9051	3.5983	5.0802	9.533	13.034	11.858	10.513	9.640	8.882	7.960	7.248	7.067	-4.81334753
	9.00	0.30000001	0.3000	-1.7580	3.6066	5.0455	9.165	12.525	11.380	10.080	9.238	8.524	7.622	6.934	6.773	-3.76315853
	9.00	0.34999999	0.3500	-1.6372	3.6132	5.0180	8.863	12.103	10.987	9.724	8.910	8.218	7.343	6.657	6.512	-3.05614800
	9.00	0.40000001	0.4000	-1.4898	3.6185	4.9498	8.494	11.646	10.550	9.316	8.523	7.849	6.993	6.301	6.171	-2.55202682
	9.00	0.44999999	0.4500	-1.3767	3.6251	4.9145	8.212	11.265	10.188	8.985	8.215	7.562	6.725	6.028	5.914	-2.17685426
	9.00	0.50000000	0.5000	-1.2593	3.6330	4.8742	7.918	10.840	9.798	8.634	7.892	7.265	6.448	5.757	5.656	-1.88823797
	9.00	0.60000002	0.6000	-1.0003	3.6515	4.7686	7.271	9.853	8.915	7.847	7.176	6.607	5.838	5.185	5.099	-1.47625717
	9.00	0.69999999	0.7000	-0.7168	3.6792	4.6627	6.562	8.595	7.895	6.953	6.383	5.888	5.209	4.636	4.567	-1.19890256
	9.00	0.75860721	0.7586	-0.5505	3.7061	4.6389	6.146	7.698	7.239	6.396	5.901	5.464	4.878	4.391	4.334	-1.07558151
	9.00	0.80000001	0.8000	-0.4396	3.7240	4.6226	5.869	7.129	6.822	6.047	5.597	5.191	4.665	4.233	4.184	-1.00113983
	9.00	0.89999998	0.8999	-0.1913	3.7582	4.5623	5.248	6.062	5.989	5.342	4.959	4.606	4.189	3.837	3.797	-0.85396262
	9.00	0.94647366	0.9464	-0.0841	3.7713	4.5292	4.980	5.658	5.654	5.058	4.703	4.365	3.986	3.667	3.627	-0.79784718
	9.00	1.00000000	0.9999	0.0339	3.7854	4.4915	4.685	5.238	5.288	4.747	4.419	4.102	3.758	3.475	3.434	-0.74074074
	9.00	1.06169462	1.0615	0.1652	3.7997	4.4433	4.357	4.808	4.894	4.405	4.101	3.808	3.497	3.244	3.204	-0.68322972
	9.00	1.10000002	1.0998	0.2431	3.8079	4.4138	4.162	4.566	4.668	4.204	3.915	3.637	3.345	3.107	3.068	-0.65130752
	9.00	1.14902472	1.1487	0.3389	3.8183	4.3787	3.923	4.274	4.388	3.957	3.687	3.424	3.158	2.940	2.905	-0.61407523
	9.00	1.19328487	1.1929	0.4213	3.8272	4.3483	3.717	4.030	4.147	3.745	3.491	3.242	2.998	2.797	2.767	-0.58352793
	9.00	1.20000005	1.1996	0.4334	3.8286	4.3438	3.686	3.995	4.112	3.714	3.463	3.215	2.974	2.776	2.746	-0.57912395
	9.00	1.23223150	1.2318	0.4916	3.8360	4.3267	3.541	3.825	3.944	3.566	3.329	3.093	2.869	2.685	2.655	-0.55876812
	9.00	1.28767192	1.2871	0.5878	3.8480	4.2977	3.300	3.547	3.664	3.320	3.105	2.890	2.691	2.530	2.502	-0.52653734
	9.00	1.29999995	1.2994	0.6084	3.8505	4.2914	3.249	3.490	3.604	3.267	3.056	2.846	2.652	2.496	2.469	-0.51980772
	9.00	1.32071209	1.3201	0.6419	3.8562	4.2875	3.165	3.393	3.501	3.179	2.977	2.779	2.596	2.450	2.427	-0.50883295
	9.00	1.36094916	1.3603	0.7049	3.8665	4.2787	3.008	3.216	3.306	3.015	2.832	2.654	2.490	2.363	2.343	-0.48862948
	9.00	1.39999998	1.3992	0.7641	3.8756	4.2684	2.860	3.054	3.124	2.860	2.697	2.537	2.389	2.279	2.260	-0.47031994
	9.00	1.42583501	1.4250	0.8023	3.8821	4.2641	2.764	2.958	3.006	2.762	2.617	2.469	2.335	2.232	2.217	-0.45885209
	9.00	1.50000000	1.4990	0.9074	3.8974	4.2419	2.502	2.706	2.695	2.496	2.389	2.276	2.167	2.087	2.077	-0.42849231
	9.00	1.56474555	1.5635	0.9968	3.9068	4.2084	2.278	2.482	2.444	2.274	2.188	2.096	2.002	1.938	1.928	-0.40473168
	9.00	1.60000002	1.5987	1.0451	3.9105	4.1847	2.157	2.356	2.312	2.156	2.079	1.994	1.905	1.847	1.837	-0.39273920
	9.00	1.64174736	1.6403	1.1014	3.9147	4.1563	2.017	2.209	2.158	2.018	1.952	1.874	1.792	1.740	1.730	-0.37931734
	9.00	1.70000005	1.6982	1.1802	3.9182	4.1067	1.819	2.008	1.950	1.825	1.766	1.695	1.619	1.572	1.563	-0.36187632
	9.00	1.71111190	1.7095	1.1950	3.9188	4.0969	1.782	1.971	1.911	1.789	1.731	1.661	1.586	1.540	1.530	-0.35870743
	9.00	1.76714289	1.7664	1.2696	3.9188	4.0365	1.596	1.784	1.718	1.601	1.544	1.477	1.402	1.356	1.346	-0.34343890
	9.00	1.79999995	1.8000	1.3132	3.9167	3.9928	1.487	1.676	1.606	1.488	1.429	1.360	1.281	1.232	1.222	-0.33500274
	9.00	1.81493711	1.8146	1.3329	3.9157	3.9725	1.438	1.627	1.555	1.436	1.376	1.306	1.225	1.175	1.165	-0.33128601
	9.00	1.85659599	1.8550	1.3874	3.9097	3.9038	1.302	1.498	1.425	1.289	1.217	1.139	1.049	0.991	0.981	-0.32129039
	9.00	1.89252388	1.8896	1.4334	3.9011	3.8314	1.186	1.395	1.321	1.163	1.076	0.983	0.879	0.810	0.799	-0.31308365
	9.00	1.89999998	1.8968	1.4427	3.8985	3.8134	1.163	1.375	1.302	1.138	1.048	0.950	0.841	0.769	0.757	-0.31142170
	9.00	1.92361009	1.9202	1.4717	3.8896	3.7541	1.091	1.315	1.245	1.061	0.957	0.843	0.719	0.635	0.620	-0.30627265
	9.00	1.94991934	1.9461	1.5033	3.8768	3.6769	1.012	1.247	1.206	0.982	0.846	0.712	0.560	0.459	0.439	-0.30070715
	9.00	1.96171808	1.9578	1.5177	3.8703	3.6394	0.976	1.223	1.189	0.947	0.800	0.654	0.488	0.376	0.356	-0.29826811
	9.00	1.97267294	1.9686	1.5330	3.8652	3.6058	0.937	1.197	1.164	0.910	0.754	0.599	0.423	0.301	0.281	-0.29603418
	9.00	1.98039675	1.9762	1.5473	3.8640	3.5884	0.902	1.165	1.130	0.874	0.717	0.560	0.381	0.257	0.237	-0.29447658
	9.00	1.98459506	1.9803	1.5595	3.8665	3.5872	0.871	1.130	1.091	0.842	0.690	0.538	0.364	0.245	0.225	-0.29363590
	9.00	1.98821747	1.9839	1.5781	3.8748	3.6027	0.825	1.067	1.018	0.791	0.655	0.520	0.362	0.259	0.239	-0.29291390
	9.00	1.99061728	1.9862	1.6116	3.8944	3.6480	0.741	0.959	0.871	0.710	0.617	0.513	0.399	0.324	0.309	-0.29243729
	9.00	1.99128366	1.9869	1.6436	3.9110	3.6827	0.661	0.848	0.754	0.643	0.580	0.507	0.419	0.368	0.358	-0.29230518
	9.00	1.99164951	1.9872	1.6832	3.9287	3.7137	0.562	0.725	0.644	0.576	0.541	0.491	0.436	0.405	0.395	-0.29223269
	9.00	1.99170995	1.9873	1.6663	3.9257	3.7186	0.604	0.771	0.687	0.612	0.573	0.519	0.458	0.424	0.414	-0.29222072
	9.00	1.99181533	1.9874	1.6244	3.9107	3.7005	0.709	0.898	0.805	0.691	0.627	0.553	0.464	0.412	0.402	-0.29219985
	9.00	1.99196172	1.9875	1.6305	3.8931	3.6242	0.694	0.914	0.825	0.661	0.566	0.461	0.345	0.268	0.253	-0.29217086
	9.00	1.99217832	1.9877	1.6482	3.8751	3.5346	0.649	0.897	0.833	0.611	0.480	0.348	0.189	0.089	0.069	-0.29212798
	9.00	1.99241829	1.9880	1.6545	3.8595	3.4659	0.634	0.914	0.863	0.602	0.441	0.280	0.091	-0.040	-0.061	-0.29208048
	9.00	1.99261701	1.9882	1.6551	3.8485	3.4215	0.632	0.925	0.919	0.613	0.419	0.224	0.025	-0.127	-0.153	-0.29204115
	9.00	1.99296653	1.9885	1.6522	3.8317	3.3571	0.640	0.975	0.996	0.632	0.398	0.169	-0.065	-0.241	-0.271	-0.29197201
	9.00	1.99355781	1.9891	1.6409	3.8090	3.2778	0.668	1.109	1.123	0.683	0.405	0.134	-0.152	-0.370	-0.410	-0.29185511
	9.00	1.99424362	1.9898	1.6181	3.7900	3.2246	0.725	1.281	1.269	0.762	0.446	0.146	-0.188	-0.446	-0.486	-0.29171962
	9.00	1.99496198	1.9905	1.5789	3.7732	3.1969	0.823	1.503	1.456	0.885	0.537	0.209	-0.166	-0.462	-0.505	-0.29157782
	9.00	1.99549425	1.9910	1.5356	3.7609	3.1909	0.931	1.720	1.639	1.013	0.645	0.296	-0.115	-0.443	-0.492	-0.29147283
	9.00	1.99600911	1.9915	1.4806	3.7484	3.1963	1.068	1.992	1.852	1.176	0.782	0.415	-0.031	-0.390	-0.440	-0.29137134
	9.00	1.99651194	1.9920	1.4371	3.7365	3.1921	1.177	2.241	2.037	1.312	0.895	0.508	0.027	-0.362	-0.414	-0.29127228
	9.00	1.99684680	1.9923	1.4229	3.7288	3.1757	1.213	2.382	2.130	1.370	0.938	0.535	0.032	-0.378	-0.432	-0.29120634
	9.00	1.99772668	1.9932	1.4848	3.7164	3.0645	1.058	2.404	2.068	1.253	0.794	0.369	-0.174	-0.616	-0.675	-0.29103320
	9.00	1.99830306	1.9937	1.5438	3.7109	2.9834	0.910	2.345	1.965	1.125	0.653	0.220	-0.344	-0.800	-0.860	-0.29091988
